,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Clackmannanshire,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,East Renfrewshire,"Edinburgh, City of",Eilean Siar,Falkirk,Fife,Glasgow City,Highland,Inverclyde,Midlothian,Moray,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,West Dunbartonshire,West Lothian,Total
01/01/2015,1,0,0,1,0,0,0,1,0,0,0,5,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,5,19
02/01/2015,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1,1,1,0,2,0,1,1,0,1,1,0,0,1,0,0,0,0,15
03/01/2015,0,3,0,1,0,1,2,0,2,0,0,2,0,1,0,3,1,0,0,1,0,0,0,1,1,0,0,0,3,2,0,1,25
04/01/2015,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9
05/01/2015,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,2,0,1,0,0,0,2,0,0,0,0,1,0,2,0,0,0,13
06/01/2015,1,0,1,1,0,0,0,0,0,2,0,3,0,1,3,1,3,0,0,1,1,1,0,0,2,1,0,1,2,0,1,0,26
07/01/2015,1,2,1,0,0,0,1,0,0,1,0,3,0,0,1,1,0,0,1,0,0,1,0,2,0,0,0,0,4,1,0,0,20
08/01/2015,0,2,1,1,0,0,1,0,0,1,0,4,0,1,2,5,1,0,2,0,1,0,0,1,2,0,0,1,0,1,1,0,28
09/01/2015,2,2,0,0,1,0,2,2,1,2,0,4,0,1,0,5,1,0,1,0,1,2,0,0,0,1,0,0,3,0,1,5,37
10/01/2015,0,1,0,2,0,3,0,0,1,0,0,0,0,0,3,5,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2,22
11/01/2015,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,3,2,0,0,0,1,2,0,0,0,0,0,1,2,0,0,2,19
12/01/2015,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,1,2,1,2,0,1,0,0,1,1,0,0,1,3,1,0,3,23
13/01/2015,2,1,1,1,0,0,1,0,1,1,2,4,1,2,4,4,0,2,0,1,2,1,0,2,1,0,0,1,2,1,1,2,41
14/01/2015,0,2,0,1,0,1,1,0,0,0,1,2,0,0,0,4,3,0,1,0,1,2,0,1,1,1,1,0,1,1,0,1,26
15/01/2015,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,1,0,0,0,0,0,0,1,2,0,0,0,1,0,1,3,17
16/01/2015,0,1,0,2,1,0,0,4,1,2,1,2,0,1,1,8,0,0,2,0,1,5,0,0,1,0,0,0,4,0,2,0,39
17/01/2015,1,0,0,1,1,1,1,0,0,1,0,4,0,0,0,7,4,1,0,1,0,1,0,0,0,0,0,2,0,0,1,1,28
18/01/2015,2,2,0,1,0,0,0,1,0,0,0,2,0,0,2,0,3,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,17
19/01/2015,1,0,0,3,0,0,2,0,0,0,0,6,0,1,0,2,3,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,23
20/01/2015,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,2,0,1,0,1,1,0,1,0,15
21/01/2015,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,15
22/01/2015,0,0,0,0,0,1,2,0,1,1,0,3,0,0,1,2,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,16
23/01/2015,0,1,0,1,0,2,0,1,0,0,1,6,0,2,2,8,2,0,1,1,0,1,0,1,2,0,1,1,0,1,1,0,36
24/01/2015,0,4,1,2,0,0,0,1,0,0,0,1,0,0,0,5,2,0,0,0,0,2,0,1,1,0,0,0,1,1,2,0,24
25/01/2015,1,0,0,0,0,1,1,0,0,1,0,2,0,1,1,2,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,16
26/01/2015,1,1,2,0,0,3,0,1,0,0,0,3,0,2,1,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,20
27/01/2015,0,1,1,0,0,1,1,0,1,1,0,4,0,0,1,4,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,1,22
28/01/2015,0,1,0,4,0,0,0,0,1,0,1,4,0,1,2,0,1,0,0,0,0,1,0,1,0,0,0,0,3,0,0,1,21
29/01/2015,1,3,0,1,0,2,0,1,0,0,1,0,0,0,2,4,2,0,2,0,0,1,0,0,1,0,0,0,2,1,0,1,25
30/01/2015,3,0,1,1,0,0,0,1,1,0,0,2,0,1,3,3,0,0,1,0,0,1,0,1,0,0,0,0,2,2,0,0,23
31/01/2015,2,1,0,0,0,1,0,0,0,0,1,7,0,1,0,6,2,0,0,1,1,2,0,0,2,1,0,0,2,0,0,0,30
01/02/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,1,3,0,0,0,2,0,0,0,13
02/02/2015,0,2,0,0,0,0,0,1,0,1,1,2,0,2,1,3,2,1,1,0,1,0,0,2,0,1,0,1,0,0,0,1,23
03/02/2015,0,2,1,1,0,0,2,2,0,0,0,4,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,20
04/02/2015,0,3,1,0,0,1,0,1,0,0,0,3,0,1,1,3,2,1,1,0,0,0,0,0,1,1,0,1,1,0,2,1,25
05/02/2015,0,0,0,0,0,1,0,0,0,0,0,8,0,2,1,7,2,1,0,0,1,2,0,0,0,1,0,1,0,1,1,0,29
06/02/2015,3,0,1,0,0,1,3,1,0,1,0,5,1,2,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,25
07/02/2015,1,1,0,0,0,1,2,0,0,1,0,7,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,1,23
08/02/2015,3,1,1,1,0,0,0,0,0,0,0,2,0,0,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,17
09/02/2015,1,4,0,0,0,1,1,1,0,1,1,4,0,0,3,2,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,24
10/02/2015,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,4,17
11/02/2015,1,2,1,0,0,0,0,0,0,0,0,4,0,0,2,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,2,19
12/02/2015,2,0,0,0,0,1,0,1,0,0,0,3,0,3,1,3,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,23
13/02/2015,0,1,0,1,1,0,0,0,0,0,2,1,0,0,1,4,2,0,0,0,0,1,0,0,1,2,0,0,1,3,1,0,22
14/02/2015,0,1,0,0,1,1,0,0,1,0,1,4,0,1,0,2,1,0,0,0,0,1,0,0,2,1,1,0,2,0,0,1,21
15/02/2015,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,3,0,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,15
16/02/2015,0,2,0,3,0,0,1,1,0,1,0,7,0,0,0,3,1,1,0,1,3,1,0,0,0,1,0,0,2,1,0,1,30
17/02/2015,1,1,1,0,0,0,1,0,0,0,0,1,0,2,1,3,1,0,0,0,1,4,0,0,0,2,0,1,1,0,0,0,21
18/02/2015,0,1,0,0,0,0,2,0,0,0,0,0,0,1,3,6,1,0,0,0,1,2,0,2,3,0,0,0,0,0,1,0,23
19/02/2015,0,2,0,1,0,0,0,0,0,0,0,3,0,2,1,5,1,0,0,0,0,3,0,0,1,0,0,2,3,1,0,1,26
20/02/2015,1,0,1,2,0,0,0,2,0,1,0,8,0,1,3,2,0,0,0,1,0,1,0,2,1,0,0,0,2,2,0,4,34
21/02/2015,0,0,1,0,0,1,0,2,0,0,0,1,0,0,2,2,0,0,0,0,1,2,0,1,0,1,0,0,4,2,0,0,20
22/02/2015,0,1,0,1,0,0,1,1,0,0,0,2,0,0,1,4,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,17
23/02/2015,0,2,1,2,0,0,0,1,0,0,0,5,0,1,2,3,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,23
24/02/2015,0,0,0,2,0,2,0,1,0,0,1,3,0,0,1,4,0,0,0,0,0,0,0,2,1,0,0,2,2,0,1,0,22
25/02/2015,1,0,0,0,1,1,0,1,0,0,0,3,0,1,0,3,1,1,0,0,1,2,0,0,0,0,0,0,0,4,1,0,21
26/02/2015,1,1,0,1,0,0,1,1,1,1,1,4,0,2,2,3,2,0,0,0,2,2,0,1,1,0,0,0,1,0,0,1,29
27/02/2015,1,0,0,0,0,0,1,1,0,1,0,2,0,0,2,5,2,0,2,0,0,0,0,0,1,0,0,1,1,2,0,1,23
28/02/2015,2,0,0,1,0,3,0,0,0,1,0,3,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,19
01/03/2015,0,1,0,1,0,1,0,1,0,0,0,2,0,2,0,7,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,18
02/03/2015,0,1,1,2,0,1,0,4,0,0,1,2,2,1,1,6,1,1,1,1,2,2,0,2,0,0,0,0,2,1,0,3,38
03/03/2015,1,0,0,1,0,0,1,1,0,0,0,3,0,2,1,7,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,2,24
04/03/2015,0,0,2,1,0,1,0,1,0,0,0,3,0,1,0,1,2,0,0,1,0,2,0,1,2,0,0,1,3,1,1,3,27
05/03/2015,0,0,1,0,0,0,0,0,1,0,1,2,0,0,2,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,14
06/03/2015,0,1,1,1,0,0,1,0,1,2,0,4,0,1,0,6,1,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,24
07/03/2015,0,2,0,1,0,0,0,0,1,0,0,1,1,1,0,2,3,0,1,0,2,1,0,1,1,0,1,1,1,2,0,3,26
08/03/2015,1,2,0,0,0,1,0,1,0,0,0,4,0,1,2,2,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,20
09/03/2015,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,1,11
10/03/2015,1,2,1,0,0,2,0,0,0,2,0,4,0,0,2,4,0,0,0,1,1,0,0,0,1,0,0,3,1,0,0,0,25
11/03/2015,0,2,0,0,1,2,0,0,0,0,0,1,1,3,2,4,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,1,23
12/03/2015,2,0,1,1,0,1,0,1,0,0,0,1,0,1,0,2,3,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,22
13/03/2015,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,4,1,0,0,3,0,1,0,2,0,1,0,0,1,0,0,1,21
14/03/2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,3,0,3,2,14
15/03/2015,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,12
16/03/2015,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,13
17/03/2015,2,1,0,0,0,1,0,0,1,0,1,5,0,0,1,3,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,23
18/03/2015,0,0,0,2,0,1,1,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,1,15
19/03/2015,0,3,0,0,0,1,0,0,2,1,0,3,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,1,1,2,0,1,20
20/03/2015,3,1,1,0,0,0,2,0,0,2,0,3,0,1,2,7,0,1,0,1,1,2,0,0,1,1,0,1,3,0,0,0,33
21/03/2015,0,1,0,2,1,1,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,3,0,0,1,0,0,0,1,0,1,1,18
22/03/2015,1,2,1,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,11
23/03/2015,1,1,0,0,0,2,1,0,0,1,0,5,0,0,0,6,0,0,0,0,0,2,0,3,1,0,0,1,0,0,1,1,26
24/03/2015,0,2,0,1,0,0,0,1,0,0,0,2,0,1,0,2,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,14
25/03/2015,0,1,0,1,0,3,0,2,0,1,0,8,0,2,0,3,1,0,1,0,1,1,0,1,0,1,0,1,2,1,1,1,33
26/03/2015,0,0,0,2,0,1,0,2,1,0,0,2,0,1,1,4,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,23
27/03/2015,0,2,0,0,0,0,0,0,1,0,0,4,0,0,2,2,1,0,1,1,0,0,1,0,2,0,0,0,2,2,0,0,21
28/03/2015,0,0,2,0,0,1,0,0,1,0,1,3,0,2,2,3,0,2,2,0,0,0,0,0,1,1,0,1,0,1,0,2,25
29/03/2015,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,2,0,0,2,0,0,1,0,0,2,0,0,1,2,0,0,0,15
30/03/2015,3,2,1,1,0,0,0,2,1,0,0,4,0,2,0,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,25
31/03/2015,0,2,1,1,0,0,0,2,0,1,1,6,0,2,3,4,0,0,0,0,2,3,0,0,0,0,0,1,3,0,2,1,35
01/04/2015,1,1,1,0,0,2,0,0,1,0,0,4,0,0,3,3,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,23
02/04/2015,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,1,0,1,1,2,0,1,1,1,0,0,2,1,0,0,20
03/04/2015,1,2,1,2,0,0,0,1,0,0,0,1,1,0,2,5,1,0,1,2,0,2,0,1,0,0,0,0,0,1,0,2,26
04/04/2015,0,0,0,0,0,1,0,0,0,1,0,3,0,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,15
05/04/2015,1,2,0,0,0,0,0,0,0,0,0,5,0,1,1,3,1,1,0,0,0,1,0,1,1,2,0,1,1,1,0,1,24
06/04/2015,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,2,0,0,1,0,0,0,0,1,0,2,0,0,1,0,1,0,17
07/04/2015,1,1,0,1,0,0,1,0,0,0,0,2,0,1,2,3,0,1,0,0,1,1,0,1,0,0,0,0,0,3,1,0,20
08/04/2015,0,1,0,0,0,0,0,1,1,0,2,4,0,0,1,4,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,22
09/04/2015,1,1,0,2,0,0,0,1,0,0,0,4,0,0,1,3,1,0,2,0,1,0,0,0,0,1,0,1,0,0,0,3,22
10/04/2015,0,0,0,0,1,1,1,0,0,1,0,0,0,2,0,4,1,0,3,0,0,0,0,2,1,0,0,1,3,2,0,1,24
11/04/2015,1,0,1,0,0,2,1,0,1,2,0,2,0,1,1,1,0,2,0,1,0,0,0,0,1,1,0,0,3,1,0,2,24
12/04/2015,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,2,13
13/04/2015,1,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,0,0,12
14/04/2015,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,1,2,0,1,1,13
15/04/2015,0,1,1,0,0,1,0,0,0,0,0,3,0,1,1,7,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,21
16/04/2015,0,1,0,1,0,0,0,1,1,0,0,4,0,0,1,3,2,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,20
17/04/2015,0,1,0,0,0,0,1,0,0,0,0,4,0,1,3,5,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,23
18/04/2015,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,1,0,0,1,1,0,0,0,2,0,0,17
19/04/2015,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,2,0,0,0,11
20/04/2015,0,1,1,0,0,1,0,1,0,0,0,4,0,1,1,1,3,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,19
21/04/2015,0,0,1,0,0,2,0,0,0,1,1,4,0,1,3,4,2,0,1,0,0,1,0,1,0,2,0,0,0,2,0,0,26
22/04/2015,3,1,0,1,0,1,0,1,0,0,1,2,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,3,1,0,0,24
23/04/2015,2,1,0,1,0,0,0,0,1,0,1,2,0,1,4,2,0,0,2,0,0,1,0,1,0,0,0,0,3,0,0,0,22
24/04/2015,0,0,0,0,0,2,0,1,0,1,1,2,0,1,1,2,0,0,3,0,0,0,0,3,3,1,0,0,0,0,0,0,21
25/04/2015,2,2,1,0,0,0,0,0,0,1,0,1,0,0,0,6,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,2,20
26/04/2015,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,1,0,0,2,1,0,2,2,0,0,1,18
27/04/2015,0,1,0,0,0,2,0,0,0,0,1,9,0,1,1,4,0,0,0,0,1,1,0,2,1,1,0,1,0,0,1,1,28
28/04/2015,2,1,0,1,0,0,1,1,0,1,0,4,0,2,0,4,1,1,1,0,1,3,0,0,1,0,0,1,1,0,0,2,29
29/04/2015,0,1,0,0,0,0,0,4,1,0,0,1,0,1,2,2,3,0,1,0,0,1,0,0,2,0,0,1,1,0,0,4,25
30/04/2015,0,2,1,0,0,3,0,1,0,1,0,3,0,0,0,3,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,19
01/05/2015,2,1,0,0,1,1,1,1,1,1,1,5,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,4,1,0,1,27
02/05/2015,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,2,15
03/05/2015,0,1,0,1,0,1,0,2,0,2,0,0,0,0,3,2,0,2,1,0,0,1,0,1,1,1,0,1,2,2,0,3,27
04/05/2015,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,1,14
05/05/2015,0,4,1,2,0,0,0,0,0,0,0,4,0,0,2,1,1,1,0,0,1,2,0,0,1,2,0,0,1,0,1,1,25
06/05/2015,1,1,0,0,2,1,0,2,0,1,0,5,0,1,2,2,0,0,0,0,0,2,1,2,1,3,0,0,1,0,0,1,29
07/05/2015,4,0,0,0,0,2,1,1,1,0,0,2,0,1,1,3,1,0,0,0,0,1,0,1,2,0,0,2,1,1,0,2,27
08/05/2015,0,0,2,0,0,1,0,1,0,0,0,6,0,0,0,8,1,1,0,0,1,2,0,2,0,0,1,0,0,0,0,0,26
09/05/2015,1,3,1,2,0,1,0,1,0,0,0,3,0,0,0,2,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,20
10/05/2015,0,1,0,1,0,2,2,0,0,0,1,2,0,2,0,4,1,0,0,1,0,3,0,1,1,1,0,0,2,0,0,0,25
11/05/2015,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,3,1,0,0,0,1,1,0,2,1,0,0,0,2,0,0,0,17
12/05/2015,2,0,0,0,0,0,0,0,0,0,1,5,0,0,2,6,2,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,24
13/05/2015,2,2,0,0,1,1,0,1,1,0,1,3,0,0,1,5,1,0,0,0,4,1,0,2,1,0,0,0,1,0,0,0,28
14/05/2015,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,4,2,0,0,0,2,1,0,0,0,0,0,0,3,0,0,1,19
15/05/2015,1,2,2,3,0,1,1,0,0,0,0,5,0,1,1,5,1,1,0,1,0,2,0,0,0,0,2,0,0,0,0,1,30
16/05/2015,0,1,0,0,0,2,0,0,0,0,0,3,0,0,1,3,2,0,2,0,1,5,0,1,0,1,0,1,1,0,1,4,29
17/05/2015,0,1,0,0,0,0,0,4,1,0,0,2,0,0,0,6,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,2,22
18/05/2015,0,5,1,1,0,1,0,0,1,0,0,2,0,0,6,6,2,0,1,0,0,2,0,0,0,1,0,1,1,0,0,0,31
19/05/2015,0,1,1,3,0,1,0,0,0,0,0,7,0,0,0,3,1,0,1,1,0,0,0,0,0,2,0,0,3,0,0,3,27
20/05/2015,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,2,0,0,0,1,1,2,0,0,1,0,0,0,0,1,0,0,14
21/05/2015,1,2,0,1,1,0,0,0,0,1,1,3,0,1,0,3,2,0,1,2,0,2,0,0,0,0,0,1,0,0,0,1,23
